"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBR142W",76.2729517495871,1.60259958577272,0.491014824969822,3.26385172967276,0.00109908666882579,0.0298888768968112
"YCL054W",62.8393541621825,1.64911562790915,0.508024481540459,3.24613416839404,0.00116983692670535,0.0316321246260838
"YER069W",148.466515261814,-1.39204591470336,0.429133587774231,-3.24385215784069,0.00117924936987982,0.0317064844703846
"YOL120C",1117.09320743896,1.51357025477548,0.467409692381343,3.23820896195839,0.00120282674434935,0.0321587217772952
"YPL211W",27.898041310095,2.0693012841887,0.640663089801188,3.22993679069423,0.00123817589033359,0.0327359947894309
"YPL090C",1226.66826011032,1.63946364750981,0.50744640567089,3.23081142991306,0.00123439347802925,0.0327359947894309
"YDR450W",648.670711224056,1.60971886242714,0.499573145297343,3.22218853751444,0.00127215394020721,0.032803756611767
"YGR214W",688.565152539457,1.58440008364713,0.491794400051345,3.22167166499194,0.001274450904172,0.032803756611767
"YJL088W",67.0458055533219,-1.56949126389294,0.486608498401826,-3.22536755738472,0.00125811031790147,0.032803756611767
"YKL180W",778.173523660419,1.49316405815302,0.463499280682713,3.22150242812386,0.00127520381869655,0.032803756611767
"YPR132W",736.310159251579,1.36665267592075,0.42375147641386,3.22512782135063,0.00125916436359435,0.032803756611767
"YJL033W",54.3896091188732,1.68914842461192,0.524711071180208,3.21919722565144,0.00128550035966463,0.0328908398475483
"YHR088W",39.906787737035,1.75422102585877,0.545823917046245,3.21389549097048,0.00130947325185908,0.0333250438801999
"YKR081C",34.346256409151,1.80333727593642,0.561935981191088,3.209150750792,0.00133127671809119,0.0335703734791122
"YPR167C",25.4586771278217,-2.25058835253846,0.701395135733503,-3.20873105312435,0.00133322138843291,0.0335703734791122
"YBR048W",610.971572227142,1.50514463189715,0.470420614893227,3.19957200905997,0.00137631801017506,0.0344731442653849
"YLR167W",2405.22841372336,1.48479295019355,0.46520773083277,3.19167729120841,0.00141449272215664,0.0352438265169815
"YML093W",77.7352290958922,1.48154410772491,0.466031652969458,3.17906326380368,0.00147751839462803,0.0366224481251813
"YGL030W",807.494336069657,1.53575890528372,0.483501602027536,3.17632640480115,0.00149153027333824,0.0367781998487911
"YKL151C",235.647717562796,-1.30037670116042,0.410127775118132,-3.17066236439573,0.00152091809141491,0.0373095319435235
"YJR041C",32.8500102319125,1.82135383222013,0.575485662462889,3.16489871255061,0.00155136945994364,0.0376682003054683
