"","logFC","logCPM","PValue","FDR"
"YBR238C",1.74392468267381,4.54547528279773,8.24531897987065e-05,0.00216159945316509
"YLR180W",-1.60554611622587,7.67022947863316,8.41195892489909e-05,0.00219281975387976
"YDR361C",1.19378951920917,5.83423898741611,8.44847173720205e-05,0.00219281975387976
"YHR170W",1.31679827288288,6.88847417025613,8.86671279381727e-05,0.00228998221016558
"YDR533C",-1.23144083563306,5.97756336897805,9.1955619476615e-05,0.00236321412221429
"YLR017W",1.24725065317994,6.19680053781734,9.4040129558162e-05,0.00240493801914182
"YGL246C",1.37136497937538,5.48268205088593,0.000103177359353809,0.00261535793239764
"YPR160W",-1.60251776985601,10.8608272965782,0.000103270794340409,0.00261535793239764
"YFR001W",1.3106418496958,6.10587263520609,0.000104096498976292,0.00262353350318509
"YNL115C",-1.08447822923699,7.24367861245615,0.000105401594366853,0.00264365441255707
"YGR121C",-1.12007298799838,7.62364905162089,0.00010724494325746,0.00267701851183814
"YMR090W",-1.43443845843797,7.13655925008107,0.000108177817801576,0.00268744607367058
"YNL061W",1.39567082752528,7.30143726501818,0.000109250397504587,0.00270122902266081
"YBR189W",2.02773732181675,10.4256220726984,0.000110842283650307,0.00272766129152665
"YJR073C",-1.33843143651018,8.4495434990698,0.00011166513309522,0.00273500938665616
"YIR037W",-1.00963661897072,7.09704903576634,0.000117052349332054,0.00285356124516508
"YER049W",1.22350858136913,6.942277338743,0.000120490327863918,0.00292371181612121
"YMR128W",1.30815539047261,6.25726786438475,0.000121591523109399,0.00293677303732284
"YHR128W",1.47715357562393,6.00969089063474,0.00012265530161616,0.00294881432502998
"YHR104W",-1.30501750629241,8.26390129733949,0.000129186513341932,0.00309158733993055
"YNL142W",-3.27052578267767,7.46883652491708,0.00013110250783904,0.00312311316619303
"YHR018C",-3.03307162118211,7.86613094826742,0.000133377109615994,0.00316285627666656
"YKL151C",-1.30525138155768,8.30520182550657,0.000135301273101457,0.00319392741453057
"YHR052W",1.58067411835796,5.47071210336664,0.000135911804873641,0.00319392741453057
"YGR173W",1.61508301216098,5.95018313120477,0.000145432664498181,0.00340234175195969
"YEL055C",0.974219925684297,7.14054890941139,0.000149159179578992,0.00347394392796251
"YKL181W",1.1872759173208,7.9735801286453,0.000150328662094165,0.00347457542144854
"YMR239C",1.76273237022538,4.72134637974302,0.000150518314212645,0.00347457542144854
